Epoch, Train_Loss, Val_Loss
1, 1.8605436086654663, 2.2759215400950743
2, 1.6488616466522217, 2.130325267810633
3, 1.5650631189346313, 2.092810845020974
4, 1.5350589752197266, 2.086429925838319
5, 1.5166207551956177, 2.1005452104134137
6, 1.4932565689086914, 2.136327794872888
7, 1.4704253673553467, 2.1947003490854016
8, 1.4462660551071167, 2.2724648342274203
9, 1.4229973554611206, 2.3611262694443806
10, 1.3974027633666992, 2.423495689831158
11, 1.3748016357421875, 2.472557535856077
12, 1.3526731729507446, 2.4987216102014673
13, 1.3329511880874634, 2.522616482607209
14, 1.314637303352356, 2.532075641768994
15, 1.2963066101074219, 2.5434605479240417
