Epoch, Train_Loss, Val_Loss
1, 2.220427989959717, 2.701331609546548
2, 1.7781901359558105, 2.094886982499963
3, 1.6862144470214844, 1.9836121402164497
4, 1.6398680210113525, 1.948860773355654
5, 1.6061066389083862, 1.9282891886069042
6, 1.5774472951889038, 1.9126051336821943
7, 1.5592501163482666, 1.903941513878284
8, 1.5445173978805542, 1.8973222746707425
9, 1.5253487825393677, 1.8912474988120618
10, 1.5125365257263184, 1.8858324428005975
11, 1.5076491832733154, 1.8824959087489854
12, 1.4944088459014893, 1.876049148269219
13, 1.4831640720367432, 1.8706051007945939
14, 1.4752854108810425, 1.8683006294292979
15, 1.4645278453826904, 1.8666716696012138
16, 1.456088662147522, 1.8670235547688927
17, 1.447303056716919, 1.8677285711954135
18, 1.434868335723877, 1.8676514120975343
19, 1.4316110610961914, 1.8682316069555756
20, 1.4169646501541138, 1.8703452316251132
21, 1.4255963563919067, 1.8700383774714895
22, 1.4113024473190308, 1.8743236719971836
23, 1.4088904857635498, 1.8758302643747613
24, 1.4009052515029907, 1.8768662898847372
25, 1.4040285348892212, 1.8800175788969096
26, 1.3949017524719238, 1.879497236544543
27, 1.384259819984436, 1.8799576360990506
28, 1.384002923965454, 1.8825750554552172
29, 1.3750975131988525, 1.8841506759128948
30, 1.3746278285980225, 1.8844075748826017
31, 1.3677746057510376, 1.8876955243620541
32, 1.354255199432373, 1.8894848581587915
33, 1.353749394416809, 1.8893130837690713
34, 1.3513305187225342, 1.8897385942463827
35, 1.3526729345321655, 1.8922547019354188
36, 1.3508427143096924, 1.8914214576234911
37, 1.3360713720321655, 1.8915323446882832
38, 1.3355605602264404, 1.8930667417474312
39, 1.3331408500671387, 1.8913162961454675
40, 1.315588116645813, 1.8921978523825655
41, 1.3212050199508667, 1.8925753793503979
42, 1.3150465488433838, 1.8948994556275924
43, 1.3149745464324951, 1.8952475556052557
44, 1.308704137802124, 1.893079772148982
45, 1.3009095191955566, 1.8930554811907288
46, 1.3089121580123901, 1.8951173719793264
47, 1.301138162612915, 1.8967746569968686
48, 1.2937188148498535, 1.895793764012875
49, 1.2820502519607544, 1.896785971846911
50, 1.2995566129684448, 1.8970897035433514
51, 1.2964650392532349, 1.8961254142888702
52, 1.2836066484451294, 1.895620736450252
53, 1.2791551351547241, 1.8987318241950308
54, 1.2740885019302368, 1.8960419022800898
55, 1.2770556211471558, 1.8954800939795995
56, 1.272402048110962, 1.8976892141422423
57, 1.2745097875595093, 1.8981246605958089
58, 1.274345874786377, 1.896596340259703
59, 1.2605195045471191, 1.8960047373087099
60, 1.2754267454147339, 1.8974700508141282
61, 1.2518583536148071, 1.8989269456060807
62, 1.267716884613037, 1.8970780287048605
63, 1.2590137720108032, 1.8982263121864584
64, 1.2416985034942627, 1.899320786247159
65, 1.255336046218872, 1.8981715313868948
66, 1.262192964553833, 1.8992001647406285
67, 1.2358686923980713, 1.8989746635503109
68, 1.242755651473999, 1.899378635800711
69, 1.2345366477966309, 1.8994899955716464
70, 1.2390071153640747, 1.9011088317573661
71, 1.2388670444488525, 1.9002301982133696
72, 1.242271900177002, 1.9020468557235037
73, 1.2302721738815308, 1.904628990605326
74, 1.2282534837722778, 1.9039485758484
75, 1.2267063856124878, 1.9044386502539759
76, 1.2206313610076904, 1.9040981472128689
77, 1.2035759687423706, 1.9022987564601521
78, 1.2271896600723267, 1.9032751017867928
79, 1.2279601097106934, 1.9033154638686982
80, 1.202178716659546, 1.9060619116419613
81, 1.2196623086929321, 1.9051598850453253
82, 1.2151426076889038, 1.904185904134618
83, 1.2148116827011108, 1.9083821693859477
84, 1.1994718313217163, 1.9059535981995044
85, 1.2100306749343872, 1.906638374127964
86, 1.1907694339752197, 1.907872748847055
87, 1.1844807863235474, 1.9084481874314865
88, 1.2043875455856323, 1.9079992827212457
89, 1.2142927646636963, 1.9113144128039332
90, 1.1907572746276855, 1.9086771191346763
91, 1.1944992542266846, 1.9071346007951415
92, 1.1770761013031006, 1.9095837001753326
93, 1.1768535375595093, 1.911468957025226
94, 1.1810461282730103, 1.910632311117531
95, 1.2061711549758911, 1.9128414333456814
96, 1.1701768636703491, 1.915376374036959
97, 1.165482997894287, 1.9146070329859706
98, 1.174009919166565, 1.913759409791172
99, 1.1738425493240356, 1.9153837101294262
100, 1.1649435758590698, 1.9162838783594642
